originalFile=051017w5_009;stack=THet2a_s13;stackdb=THet2a_s13_db2;saveTime=3577360338.899000;version=20151224;numObjects=175;numSpines=79;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning
23,controlPnt,2,31.296,39.471,12,1,,0,554,68.08,38.242,,,center,0,31.32,39.42,12,2017-05-11,14:38:38,2017-05-11,14:38:38,3577358318.086000,3577358318.087000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,28.411,37.932,12,1,,0,586,71.965,42.127,,,center,0,28.404,37.908,12,2017-05-11,14:38:38,2017-05-11,14:38:38,3577358318.534000,3577358318.535000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,26.488,37.451,12,1,,0,605,74.177,44.339,,,center,0,26.46,37.476,12,2017-05-11,14:38:39,2017-05-11,14:38:39,3577358319.227000,3577358319.228000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,23.795,35.335,15,1,,0,632,77.835,47.997,,,center,0,23.76,35.316,15,2017-05-11,14:38:40,2017-05-11,14:38:40,3577358320.697000,3577358320.699000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,23.603,33.604,15,1,,0,649,79.608,49.77,,,center,0,23.652,33.588,15,2017-05-11,14:38:41,2017-05-11,14:38:41,3577358321.137000,3577358321.138000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,21.872,31.489,19,1,,0,669,82.376,52.537,,,center,0,21.924,31.536,19,2017-05-11,14:38:42,2017-05-11,14:38:42,3577358322.562000,3577358322.564000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,20.526,29.469,19,1,,0,690,85.072,55.234,,,center,0,20.52,29.484,19,2017-05-11,14:38:43,2017-05-11,14:38:43,3577358323.119000,3577358323.119000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
30,controlPnt,2,19.179,26.969,22,1,,0,715,88.157,58.318,,,center,0,19.224,27,22,2017-05-11,14:38:44,2017-05-11,14:38:44,3577358324.438000,3577358324.439000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
31,controlPnt,2,19.756,25.334,22,1,,0,731,90,60.162,,,center,0,19.764,25.38,22,2017-05-11,14:38:45,2017-05-11,14:38:45,3577358325.278000,3577358325.279000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
32,controlPnt,2,109.19,100.06,18,1,,1,732,0,-105.5,,,center,0,109.19,100.01,18,2017-05-11,14:40:30,2017-05-11,14:40:30,3577358430.341000,3577358430.342000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
33,controlPnt,2,108.13,98.132,18,1,,1,749,2.2834,-103.22,,,center,0,108.11,98.172,18,2017-05-11,14:40:31,2017-05-11,14:40:31,3577358431.045000,3577358431.047000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
34,controlPnt,2,107.46,96.401,18,1,,1,766,4.2798,-101.22,,,center,0,107.46,96.444,18,2017-05-11,14:40:31,2017-05-11,14:40:31,3577358431.476000,3577358431.477000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
35,controlPnt,2,104.67,93.036,18,1,,1,800,8.9621,-96.541,,,center,0,104.65,92.988,18,2017-05-11,14:40:32,2017-05-11,14:40:32,3577358432.195000,3577358432.197000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
36,controlPnt,2,104.38,91.401,18,1,,1,816,10.716,-94.787,,,center,0,104.33,91.368,18,2017-05-11,14:40:32,2017-05-11,14:40:32,3577358432.556000,3577358432.557000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
37,controlPnt,2,103.42,88.9,18,1,,1,840,13.737,-91.766,,,center,0,103.46,88.884,18,2017-05-11,14:40:33,2017-05-11,14:40:33,3577358433.074000,3577358433.075000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
38,controlPnt,2,100.54,86.785,19,1,,1,870,17.63,-87.874,,,center,0,100.55,86.832,19,2017-05-11,14:40:35,2017-05-11,14:40:35,3577358435.716000,3577358435.718000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
39,controlPnt,2,97.075,85.535,19,1,,1,903,21.622,-83.881,,,center,0,97.092,85.536,19,2017-05-11,14:40:36,2017-05-11,14:40:36,3577358436.500000,3577358436.502000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
40,controlPnt,2,94.093,84.669,19,1,,1,932,25.004,-80.499,,,center,0,94.068,84.672,19,2017-05-11,14:40:37,2017-05-11,14:40:37,3577358437.564000,3577358437.566000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
41,controlPnt,2,90.824,83.515,19,1,,1,963,28.736,-76.767,,,center,0,90.828,83.484,19,2017-05-11,14:40:38,2017-05-11,14:40:38,3577358438.040000,3577358438.043000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
42,controlPnt,2,87.843,84.284,19,1,,1,993,32.137,-73.366,,,center,0,87.804,84.24,19,2017-05-11,14:40:38,2017-05-11,14:40:38,3577358438.558000,3577358438.559000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
43,controlPnt,2,84.958,82.842,19,1,,1,1020,35.526,-69.977,,,center,0,84.996,82.836,19,2017-05-11,14:40:39,2017-05-11,14:40:39,3577358439.135000,3577358439.135000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
44,controlPnt,2,81.88,81.592,19,1,,1,1050,39.195,-66.308,,,center,0,81.864,81.54,19,2017-05-11,14:40:39,2017-05-11,14:40:39,3577358439.649000,3577358439.651000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
45,controlPnt,2,78.707,79.38,19,1,,1,1080,43.222,-62.281,,,center,0,78.732,79.38,19,2017-05-11,14:40:40,2017-05-11,14:40:40,3577358440.290000,3577358440.293000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
46,controlPnt,2,75.822,77.36,19,1,,1,1108,46.988,-58.515,,,center,0,75.816,77.328,19,2017-05-11,14:40:42,2017-05-11,14:40:42,3577358442.366000,3577358442.367000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
47,controlPnt,2,73.321,74.475,19,1,,1,1138,51.015,-54.489,,,center,0,73.332,74.52,19,2017-05-11,14:40:43,2017-05-11,14:40:43,3577358443.264000,3577358443.266000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
48,controlPnt,2,69.859,72.552,19,1,,1,1171,55.276,-50.227,,,center,0,69.876,72.576,19,2017-05-11,14:40:43,2017-05-11,14:40:43,3577358443.888000,3577358443.890000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
49,controlPnt,2,68.225,70.917,19,1,,1,1187,57.567,-47.936,,,center,0,68.256,70.956,19,2017-05-11,14:40:44,2017-05-11,14:40:44,3577358444.343000,3577358444.346000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
50,controlPnt,2,64.474,69.09,19,1,,1,1223,62.376,-43.127,,,center,0,64.476,69.12,19,2017-05-11,14:40:45,2017-05-11,14:40:45,3577358445.011000,3577358445.012000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
51,controlPnt,2,61.589,66.878,19,1,,1,1254,66.421,-39.082,,,center,0,61.56,66.852,19,2017-05-11,14:40:45,2017-05-11,14:40:45,3577358445.510000,3577358445.513000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
52,controlPnt,2,59.57,64.378,19,1,,1,1280,69.837,-35.666,,,center,0,59.616,64.368,19,2017-05-11,14:40:46,2017-05-11,14:40:46,3577358446.150000,3577358446.150000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
53,controlPnt,2,55.723,62.07,19,1,,1,1317,74.754,-30.75,,,center,0,55.728,62.1,19,2017-05-11,14:40:46,2017-05-11,14:40:46,3577358446.717000,3577358446.718000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
54,controlPnt,2,53.03,58.8,20,1,,1,1349,79.22,-26.283,,,center,0,53.028,58.752,20,2017-05-11,14:40:50,2017-05-11,14:40:50,3577358450.038000,3577358450.041000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
