Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,334590,NaN,334590
30,355895,NaN,355895
31,378554,NaN,378554
32,337710,NaN,337710
33,404939,NaN,404939
34,320375,NaN,320375
35,295557,NaN,295557
36,144765,NaN,144765
37,688261,NaN,688261
38,522939,NaN,522939
39,337536,NaN,337536
40,487990,NaN,487990
41,324324,NaN,324324
42,236694,NaN,236694
43,685580,NaN,685580
44,333536,NaN,333536
45,625873,NaN,625873
46,788118,NaN,788118
47,491139,NaN,491139
48,775385,NaN,775385
49,548706,NaN,548706
50,386545,NaN,386545
51,530989,NaN,530989
52,353830,NaN,353830
53,380390,NaN,380390
54,520229,NaN,520229
55,557024,NaN,557024
56,880880,NaN,880880
57,NaN,NaN,NaN
58,578224,8266,578224
59,NaN,NaN,NaN
60,649288,NaN,649288
61,473103,NaN,473103
62,265061,NaN,265061
63,254333,NaN,254333
64,820646,NaN,820646
65,644758,NaN,644758
66,472206,NaN,472206
67,245450,NaN,245450
68,460434,NaN,460434
69,313377,NaN,313377
70,NaN,NaN,NaN
71,101128,NaN,101128
72,193331,NaN,193331
73,362262,NaN,362262
74,291297,NaN,291297
75,248792,NaN,248792
76,181941,NaN,181941
77,433448,NaN,433448
