Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,NaN,NaN,NaN
32,NaN,NaN,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,NaN
36,NaN,NaN,NaN
37,NaN,NaN,NaN
38,NaN,NaN,NaN
39,NaN,NaN,NaN
40,NaN,NaN,NaN
41,NaN,NaN,NaN
42,407764,141.94,407764
43,245773,177.94,245773
44,227439,NaN,227439
45,372685,NaN,372685
46,390203,NaN,390203
47,267604,NaN,267604
48,285813,NaN,285813
49,392061,NaN,392061
50,614694,NaN,614694
51,273447,NaN,273447
52,220442,NaN,220442
53,328158,NaN,328158
54,213399,NaN,213399
55,194640,NaN,194640
56,687318,NaN,687318
57,479647,NaN,479647
58,488561,NaN,488561
59,338041,NaN,338041
60,374961,NaN,374961
61,489650,NaN,489650
62,443434,NaN,443434
63,369368,NaN,369368
64,297336,NaN,297336
65,469435,NaN,469435
66,378017,NaN,378017
67,301182,NaN,301182
68,403441,NaN,403441
69,290683,NaN,290683
70,321129,NaN,321129
71,561492,NaN,561492
72,446504,NaN,446504
73,361244,NaN,361244
74,272175,NaN,272175
75,429051,NaN,429051
