originalFile=C:MapManager:MapManagerMaps:Nancy:rr58c:raw:rr58c_s6_ch1.tif;stack=rr58c_s6;stackdb=rr58c_s6_db2;saveTime=3583986389.228000;version=20151224;numObjects=151;numSpines=110;condStr=None;pixelx=1024;pixely=1024;pixelz=110;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
22,controlPnt,2,52.662,108.21,75,1,,1,817,26.43,-2.0073,,,center,0,52.68,108.24,75,2015-11-18,15:25:01,2015-11-18,15:25:01,3530705101.340000,3530705101.341000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,56.398,104.19,72,1,,1,864,33.023,4.5856,,,center,0,56.4,104.16,72,2015-11-18,15:25:03,2015-11-18,15:25:03,3530705103.910000,3530705103.910000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,59.443,100.6,80,1,,1,899,38.147,9.7094,,,center,0,59.4,100.56,80,2015-11-18,15:25:07,2015-11-18,15:25:07,3530705107.077000,3530705107.078000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,63.456,98.244,80,1,,1,934,43.171,14.734,,,center,0,63.48,98.28,80,2015-11-18,15:25:08,2015-11-18,15:25:08,3530705108.107000,3530705108.108000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,67.607,95.338,80,1,,1,974,49.044,20.607,,,center,0,67.56,95.28,80,2015-11-18,15:25:09,2015-11-18,15:25:09,3530705109.120000,3530705109.121000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,71.205,90.633,83,1,,1,1017,55.625,27.188,,,center,0,71.16,90.6,83,2015-11-18,15:25:13,2015-11-18,15:25:13,3530705113.041000,3530705113.042000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,73.834,87.589,83,1,,1,1046,59.929,31.492,,,center,0,73.8,87.6,83,2015-11-18,15:25:14,2015-11-18,15:25:14,3530705114.380000,3530705114.380000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,76.602,84.821,86,1,,1,1075,64.283,35.846,,,center,0,76.56,84.84,86,2015-11-18,15:25:17,2015-11-18,15:25:17,3530705117.041000,3530705117.042000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
30,spineROI,0,32.909,73.863,97,1,,0,264,35.843,-21.577,1,454.04,radius2,2,32.76,75.78,99.6,2015-11-18,15:51:02,2015-11-18,15:51:02,3530706662.925000,3530706662.940000,Nancy Luo,,,,,,,,1,,,,,,,,,,,,,,,,,
31,spineROI,0,28.866,78.021,97,1,,0,232,31.506,-25.914,1,254.42,radius1,1,28.979,76.59,99.8,2015-11-18,15:51:04,2015-11-18,15:51:04,3530706664.407000,3530706664.422000,Nancy Luo,,,,,,,,1,,,,,,,,,,,,,,,,,
