originalFile=C:Users:Richard:Desktop:MapManagerMaps:Nancy:rr52c:raw:rr52c_s6_ch1.tif;stack=rr52c_s6;stackdb=rr52c_s6_db2;saveTime=3583986379.862000;version=20151224;numObjects=149;numSpines=84;condStr=None;pixelx=1024;pixely=1024;pixelz=60;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
22,controlPnt,2,36.639,100.04,41,1,,0,874,118.15,35.14,,,center,0,36.6,100.08,41,2015-10-21,20:22:58,2015-10-21,20:22:58,3528303778.310000,3528303778.310000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,39.117,103.26,42,1,,0,907,122.78,39.776,,,center,0,39.12,103.32,42,2015-10-21,20:22:59,2015-10-21,20:22:59,3528303779.543000,3528303779.543000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,40.861,107.85,43,1,,0,948,128.19,45.181,,,center,0,40.92,107.88,43,2015-10-21,20:23:01,2015-10-21,20:23:01,3528303781.055000,3528303781.055000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,43.064,112.89,47,1,,0,994,134.56,51.554,,,center,0,43.08,112.92,47,2015-10-21,20:23:02,2015-10-21,20:23:02,3528303782.951000,3528303782.951000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,44.9,116.47,51,1,,0,1027,139.15,56.14,,,center,0,44.88,116.52,51,2015-10-21,20:23:06,2015-10-21,20:23:06,3528303786.000000,3528303786.000000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,44.808,121.06,53,1,,0,1066,144.25,61.246,,,center,0,44.76,121.08,53,2015-10-21,20:23:07,2015-10-21,20:23:07,3528303787.530000,3528303787.530000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
28,spineROI,0,34.601,33.689,33,1,,0,299,41.402,-41.603,1,410.22,radius2,2,33.587,34.339,30.8,2015-10-23,14:42:28,2015-10-23,14:42:28,3528456148.293000,3528456148.308000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
29,spineROI,0,34.808,35.961,33,1,,0,323,44.461,-38.545,0,385.68,radius2,2,33.695,37.181,30.4,2015-10-23,14:42:29,2015-10-24,11:53:36,3528456149.796000,3528532416.831000,Nancy Luo,,,,0,,,,0,,,,,,,,,,,,,,,,,
30,spineROI,0,31.09,51.107,33,1,,0,451,61.428,-21.577,1,277.89,radius1,1,33.972,51.805,32,2015-10-23,14:42:36,2015-10-23,14:42:36,3528456156.578000,3528456156.594000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
31,spineROI,0,31.021,52.966,33,1,,0,464,63.137,-19.868,1,291.44,radius1,1,33.833,53.469,31,2015-10-23,14:42:37,2015-10-23,14:42:37,3528456157.856000,3528456157.872000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
