Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,NaN,NaN,NaN
32,NaN,NaN,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,299961,163.88,299961
36,648959,NaN,648959
37,436008,NaN,436008
38,319367,NaN,319367
39,253412,NaN,253412
40,777522,NaN,777522
41,276010,NaN,276010
42,305623,NaN,305623
43,337616,NaN,337616
44,210504,NaN,210504
45,562406,NaN,562406
46,216461,NaN,216461
47,526778,NaN,526778
48,386117,NaN,386117
49,366821,NaN,366821
50,665559,NaN,665559
51,511829,NaN,511829
52,343376,NaN,343376
53,462844,NaN,462844
54,498622,NaN,498622
55,299413,NaN,299413
56,369167,NaN,369167
57,364295,NaN,364295
58,358586,NaN,358586
59,380944,NaN,380944
60,563964,8215.1,563964
61,NaN,NaN,NaN
62,407392,NaN,407392
63,256465,NaN,256465
64,NaN,NaN,NaN
65,NaN,NaN,NaN
66,285578,NaN,285578
67,NaN,NaN,NaN
68,496993,NaN,496993
69,570860,NaN,570860
70,849827,NaN,849827
71,153421,NaN,153421
72,357065,NaN,357065
73,269320,NaN,269320
74,219898,NaN,219898
75,653315,NaN,653315
76,326240,NaN,326240
