Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,486330,NaN,486330
32,399978,NaN,399978
33,335552,NaN,335552
34,234555,NaN,234555
35,293085,NaN,293085
36,332003,NaN,332003
37,176666,NaN,176666
38,692126,NaN,692126
39,429191,NaN,429191
40,227914,NaN,227914
41,341026,NaN,341026
42,281601,NaN,281601
43,325064,NaN,325064
44,862103,NaN,862103
45,633758,NaN,633758
46,614629,NaN,614629
47,512324,NaN,512324
48,782067,NaN,782067
49,580608,NaN,580608
50,173508,NaN,173508
51,365493,NaN,365493
52,381693,NaN,381693
53,256126,NaN,256126
54,NaN,NaN,NaN
55,NaN,NaN,NaN
56,NaN,NaN,NaN
57,435902,NaN,435902
58,NaN,NaN,NaN
59,326407,NaN,326407
60,317178,NaN,317178
61,NaN,NaN,NaN
62,NaN,NaN,NaN
63,717595,NaN,717595
64,435137,NaN,435137
65,821565,NaN,821565
66,170871,NaN,170871
67,429410,NaN,429410
68,155154,NaN,155154
69,393176,NaN,393176
70,77870,NaN,77870
71,431248,NaN,431248
72,264441,NaN,264441
73,429558,NaN,429558
74,375604,NaN,375604
75,374244,NaN,374244
76,120931,NaN,120931
