Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,NaN,NaN,NaN
32,NaN,NaN,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,NaN
36,NaN,NaN,NaN
37,NaN,NaN,NaN
38,505626,196.97,505626
39,319025,NaN,319025
40,558571,NaN,558571
41,572503,NaN,572503
42,187170,NaN,187170
43,302242,NaN,302242
44,302889,NaN,302889
45,456065,NaN,456065
46,514179,NaN,514179
47,525917,NaN,525917
48,428498,NaN,428498
49,609731,NaN,609731
50,436662,NaN,436662
51,466808,NaN,466808
52,353542,NaN,353542
53,555496,NaN,555496
54,518871,NaN,518871
55,364470,NaN,364470
56,322621,NaN,322621
57,470522,NaN,470522
58,382207,NaN,382207
59,405392,NaN,405392
60,573835,NaN,573835
61,430508,8319,430508
62,NaN,NaN,NaN
63,655316,NaN,655316
64,531209,NaN,531209
65,215412,NaN,215412
66,250003,NaN,250003
67,252876,NaN,252876
68,NaN,NaN,NaN
69,477465,NaN,477465
70,358106,NaN,358106
71,419164,NaN,419164
72,230192,NaN,230192
73,321597,NaN,321597
74,389621,NaN,389621
75,468102,NaN,468102
76,488288,NaN,488288
