Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,NaN,NaN,NaN
32,NaN,NaN,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,NaN
36,NaN,NaN,NaN
37,NaN,NaN,NaN
38,NaN,NaN,NaN
39,NaN,NaN,NaN
40,NaN,NaN,NaN
41,NaN,NaN,NaN
42,NaN,196.97,NaN
43,457365,NaN,457365
44,305071,NaN,305071
45,303929,NaN,303929
46,NaN,NaN,NaN
47,265722,NaN,265722
48,478991,NaN,478991
49,257818,NaN,257818
50,169924,NaN,169924
51,299319,NaN,299319
52,310692,NaN,310692
53,341153,NaN,341153
54,435920,NaN,435920
55,NaN,NaN,NaN
56,NaN,NaN,NaN
57,392603,NaN,392603
58,532094,NaN,532094
59,297423,NaN,297423
60,NaN,NaN,NaN
61,338468,NaN,338468
62,189652,NaN,189652
63,547931,NaN,547931
64,576932,NaN,576932
65,311329,NaN,311329
66,265650,NaN,265650
67,265116,NaN,265116
68,336211,NaN,336211
69,NaN,NaN,NaN
70,NaN,8333.1,NaN
71,506938,NaN,506938
72,543149,NaN,543149
73,426731,NaN,426731
74,407861,NaN,407861
