stack=F27A_1_s6;stackdb=F27A_1_s6_db2;saveTime=3544528990.246000;version=20151224;numHeaderRow=6;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,576,577,75.5,0,0.3,62,0,0,,,,
,1,1,NaN,577,950,374,43.1,0,0.3,62,0,0,,,,
,2,2,NaN,951,1208,258,36.4,0,0.3,62,0,0,,,,
,3,3,NaN,1209,1467,259,30.1,0,0.3,62,0,0,,,,
,4,4,NaN,1468,1904,437,51,0,0.3,62,0,0,,,,
,5,5,NaN,1905,2045,141,19.5,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID,
NaN,NaN,36.071999,41.688000,36.000000,36.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.713553,4.572415,3.713553,4.572415,NaN,NaN,NaN,
NaN,NaN,36.180000,41.688000,36.000000,36.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.821555,4.680417,3.821555,4.680417,NaN,NaN,NaN,
NaN,NaN,36.287998,41.688000,36.000000,36.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,3.929553,4.788415,3.929553,4.788415,NaN,NaN,NaN,
NaN,NaN,36.396000,41.688000,36.000000,36.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.037555,4.896417,4.037555,4.896417,NaN,NaN,NaN,
NaN,NaN,36.504002,41.688000,36.000000,36.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.145556,5.004418,4.145556,5.004418,NaN,NaN,NaN,
NaN,NaN,36.612000,41.688000,36.000000,36.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.253554,5.112416,4.253554,5.112416,NaN,NaN,NaN,
NaN,NaN,36.720001,41.580002,35.000000,35.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.406289,6.124013,4.406289,6.124013,NaN,NaN,NaN,
NaN,NaN,36.827999,41.472000,35.000000,35.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.559024,6.276748,4.559024,6.276748,NaN,NaN,NaN,
NaN,NaN,36.936001,41.363998,35.000000,35.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.711761,6.429485,4.711761,6.429485,NaN,NaN,NaN,
NaN,NaN,37.043999,41.256001,35.000000,35.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,4.864493,6.582217,4.864493,6.582217,NaN,NaN,NaN,
NaN,NaN,37.152000,41.256001,35.000000,35.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,4.972495,6.690219,4.972495,6.690219,NaN,NaN,NaN,
NaN,NaN,37.259998,41.256001,35.000000,35.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.080493,6.798217,5.080493,6.798217,NaN,NaN,NaN,
NaN,NaN,37.368000,41.256001,35.000000,35.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.188495,6.906219,5.188495,6.906219,NaN,NaN,NaN,
