stack=rr30a_s0;stackdb=rr30a_s0_db2;saveTime=3590469145.375000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,694,695,85.3,51,0.35,57,0,0,,,,
,1,1,NaN,695,1123,429,57,25,0.35,57,0,0,,,,
,2,2,NaN,1124,1681,558,72.6,37,0.35,57,0,0,,,,
,3,3,NaN,1682,1871,190,23.7,11,0.3,57,0,0,,,,
,4,4,NaN,1872,2120,249,32,15,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d
NaN,NaN,45.840000,28.320000,31.000000,31.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.558823,-37.839104,NaN,NaN,NaN,3.558823,-38.683693,
NaN,NaN,45.959999,28.320000,31.000000,31.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.678822,-37.719105,NaN,NaN,NaN,3.678822,-38.563694,
NaN,NaN,46.080002,28.320000,31.000000,31.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,3.798825,-37.599102,NaN,NaN,NaN,3.798825,-38.443691,
NaN,NaN,46.200001,28.320000,31.000000,31.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,3.918823,-37.479103,NaN,NaN,NaN,3.918823,-38.323692,
NaN,NaN,46.320000,28.320000,31.000000,31.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.038823,-37.359104,NaN,NaN,NaN,4.038823,-38.203693,
NaN,NaN,46.439999,28.320000,31.000000,31.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.158822,-37.239105,NaN,NaN,NaN,4.158822,-38.083694,
NaN,NaN,46.560001,28.320000,31.000000,31.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.278824,-37.119102,NaN,NaN,NaN,4.278824,-37.963692,
NaN,NaN,46.680000,28.320000,31.000000,31.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.398823,-36.999104,NaN,NaN,NaN,4.398823,-37.843693,
NaN,NaN,46.799999,28.320000,31.000000,31.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.518822,-36.879105,NaN,NaN,NaN,4.518822,-37.723694,
NaN,NaN,46.919998,28.320000,31.000000,31.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,4.638821,-36.759106,NaN,NaN,NaN,4.638821,-37.603695,
NaN,NaN,47.040001,28.200001,31.000000,31.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,4.808528,-36.589397,NaN,NaN,NaN,4.808528,-37.433987,
NaN,NaN,47.160000,28.080000,31.000000,31.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,4.978233,-36.419693,NaN,NaN,NaN,4.978233,-37.264282,
NaN,NaN,47.279999,27.959999,31.000000,31.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.147939,-36.249989,NaN,NaN,NaN,5.147939,-37.094578,
NaN,NaN,47.400002,27.840000,31.000000,31.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,5.317646,-36.080280,NaN,NaN,NaN,5.317646,-36.924870,
NaN,NaN,47.520000,27.840000,31.000000,31.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,5.437644,-35.960281,NaN,NaN,NaN,5.437644,-36.804871,
NaN,NaN,47.639999,27.840000,31.000000,31.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,5.557643,-35.840282,NaN,NaN,NaN,5.557643,-36.684872,
NaN,NaN,47.759998,27.840000,31.000000,31.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,5.677642,-35.720284,NaN,NaN,NaN,5.677642,-36.564873,
NaN,NaN,47.880001,27.840000,31.000000,31.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,5.797645,-35.600281,NaN,NaN,NaN,5.797645,-36.444870,
NaN,NaN,48.000000,27.840000,31.000000,31.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,5.917644,-35.480282,NaN,NaN,NaN,5.917644,-36.324871,
NaN,NaN,48.119999,27.840000,31.000000,31.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,6.037643,-35.360283,NaN,NaN,NaN,6.037643,-36.204872,
NaN,NaN,48.119999,27.840000,31.000000,31.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,6.037643,-35.360283,NaN,NaN,NaN,6.037643,-36.204872,
NaN,NaN,48.240002,27.840000,31.000000,31.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,6.157646,-35.240280,NaN,NaN,NaN,6.157646,-36.084869,
NaN,NaN,48.360001,27.840000,31.000000,31.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,6.277645,-35.120281,NaN,NaN,NaN,6.277645,-35.964870,
NaN,NaN,48.480000,27.840000,31.000000,31.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,6.397644,-35.000282,NaN,NaN,NaN,6.397644,-35.844872,
NaN,NaN,48.599998,27.840000,31.000000,31.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,6.517642,-34.880283,NaN,NaN,NaN,6.517642,-35.724873,
NaN,NaN,48.720001,27.719999,31.000000,31.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,6.687351,-34.710575,NaN,NaN,NaN,6.687351,-35.555164,
NaN,NaN,48.840000,27.719999,31.000000,31.000000,NaN,NaN,54.000000,0.000000,NaN,NaN,NaN,NaN,6.807350,-34.590576,NaN,NaN,NaN,6.807350,-35.435165,
NaN,NaN,48.959999,27.719999,31.000000,31.000000,NaN,NaN,55.000000,0.000000,NaN,NaN,NaN,NaN,6.927349,-34.470577,NaN,NaN,NaN,6.927349,-35.315166,
