stack=rr30a_s5;stackdb=rr30a_s5_db2;saveTime=3590469147.596000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,684,685,83.5,52,0.35,57,0,0,,,,
,1,1,NaN,685,1093,409,54.2,20,0.35,57,0,0,,,,
,2,2,NaN,1094,1626,533,67.9,35,0.35,57,0,0,,,,
,3,3,NaN,1627,1846,220,28.4,11,0.3,57,0,0,,,,
,4,4,NaN,1847,2071,225,29.6,17,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d
NaN,NaN,47.040001,30.360001,31.000000,31.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.827940,3.827940,NaN,NaN,NaN,6.361717,6.361717,
NaN,NaN,47.160000,30.240000,31.000000,31.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,3.997646,3.997646,NaN,NaN,NaN,6.531423,6.531423,
NaN,NaN,47.279999,30.240000,31.000000,31.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.117644,4.117644,NaN,NaN,NaN,6.651422,6.651422,
NaN,NaN,47.400002,30.240000,31.000000,31.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.237647,4.237647,NaN,NaN,NaN,6.771424,6.771424,
NaN,NaN,47.520000,30.240000,31.000000,31.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.357646,4.357646,NaN,NaN,NaN,6.891423,6.891423,
NaN,NaN,47.639999,30.240000,31.000000,31.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.477645,4.477645,NaN,NaN,NaN,7.011422,7.011422,
NaN,NaN,47.759998,30.240000,31.000000,31.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.597644,4.597644,NaN,NaN,NaN,7.131421,7.131421,
NaN,NaN,47.880001,30.120001,31.000000,31.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.767351,4.767351,NaN,NaN,NaN,7.301128,7.301128,
NaN,NaN,48.000000,30.000000,31.000000,31.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,4.937057,4.937057,NaN,NaN,NaN,7.470833,7.470833,
NaN,NaN,48.119999,30.000000,31.000000,31.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,5.057055,5.057055,NaN,NaN,NaN,7.590832,7.590832,
NaN,NaN,48.240002,30.000000,31.000000,31.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.177058,5.177058,NaN,NaN,NaN,7.710835,7.710835,
NaN,NaN,48.360001,30.000000,31.000000,31.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.297057,5.297057,NaN,NaN,NaN,7.830834,7.830834,
NaN,NaN,48.480000,30.000000,31.000000,31.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,5.417056,5.417056,NaN,NaN,NaN,7.950833,7.950833,
NaN,NaN,48.599998,30.000000,31.000000,31.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,5.537055,5.537055,NaN,NaN,NaN,8.070831,8.070831,
NaN,NaN,48.720001,30.000000,31.000000,31.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,5.657058,5.657058,NaN,NaN,NaN,8.190834,8.190834,
NaN,NaN,48.840000,30.000000,31.000000,31.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,5.777057,5.777057,NaN,NaN,NaN,8.310833,8.310833,
NaN,NaN,48.959999,30.000000,31.000000,31.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,5.897056,5.897056,NaN,NaN,NaN,8.430832,8.430832,
NaN,NaN,49.080002,30.000000,31.000000,31.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,6.017058,6.017058,NaN,NaN,NaN,8.550835,8.550835,
NaN,NaN,49.200001,30.000000,31.000000,31.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,6.137057,6.137057,NaN,NaN,NaN,8.670834,8.670834,
NaN,NaN,49.320000,30.000000,31.000000,31.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,6.257056,6.257056,NaN,NaN,NaN,8.790833,8.790833,
NaN,NaN,49.439999,30.000000,32.000000,32.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,6.377055,6.377055,NaN,NaN,NaN,9.798007,9.798007,
NaN,NaN,49.439999,30.000000,32.000000,32.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,6.377055,6.377055,NaN,NaN,NaN,9.798007,9.798007,
NaN,NaN,49.560001,29.879999,32.000000,32.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,6.546763,6.546763,NaN,NaN,NaN,9.967715,9.967715,
NaN,NaN,49.680000,29.760000,32.000000,32.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,6.716467,6.716467,NaN,NaN,NaN,10.137420,10.137420,
NaN,NaN,49.799999,29.639999,32.000000,32.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,6.886173,6.886173,NaN,NaN,NaN,10.307125,10.307125,
NaN,NaN,49.919998,29.520000,32.000000,32.000000,NaN,NaN,54.000000,0.000000,NaN,NaN,NaN,NaN,7.055877,7.055877,NaN,NaN,NaN,10.476829,10.476829,
